192.168.23.129 53450	Wed Apr  5 20:19:19 2017
192.168.23.129 53451 connect	Wed Apr  5 20:41:57 2017
client login success	Wed Apr  5 20:42:01 2017
ls	Wed Apr  5 20:42:03 2017
pwd	Wed Apr  5 20:42:11 2017
192.168.23.129 53452 connect	Wed Apr  5 20:42:21 2017
client login success	Wed Apr  5 20:42:30 2017
pwd	Wed Apr  5 20:42:43 2017
192.168.23.129 53453 connect	Wed Apr  5 20:47:13 2017
client login success	Wed Apr  5 20:47:23 2017
pwd	Wed Apr  5 20:47:26 2017
ls	Wed Apr  5 20:47:27 2017
cd ..	Wed Apr  5 20:47:31 2017
ls	Wed Apr  5 20:47:39 2017
logout	Wed Apr  5 20:47:42 2017
192.168.23.129 52717 connect	Thu Apr  6 10:05:22 2017
client login success	Thu Apr  6 10:05:28 2017
ls	Thu Apr  6 10:06:31 2017
gets file1	Thu Apr  6 10:06:38 2017
client continue downloading	Thu Apr  6 10:06:38 2017
download success	Thu Apr  6 10:06:38 2017
remove file1	Thu Apr  6 10:07:03 2017
ls	Thu Apr  6 10:07:08 2017
puts file1	Thu Apr  6 10:07:26 2017
ls	Thu Apr  6 10:07:59 2017
pwd	Thu Apr  6 10:08:07 2017
logout	Thu Apr  6 10:08:23 2017
192.168.23.129 52718 connect	Thu Apr  6 10:23:37 2017
client login success	Thu Apr  6 10:23:45 2017
gets mp4	Thu Apr  6 10:24:09 2017
client downloading	Thu Apr  6 10:24:09 2017
download success	Thu Apr  6 10:24:10 2017
gets file1	Thu Apr  6 10:24:25 2017
client downloading	Thu Apr  6 10:24:25 2017
filesize>100M,begin mmap send	Thu Apr  6 10:24:25 2017
client mmap download success	Thu Apr  6 10:24:53 2017
ls	Thu Apr  6 10:25:11 2017
logout	Thu Apr  6 10:25:26 2017
192.168.23.129 52719 connect	Thu Apr  6 15:26:48 2017
client login success	Thu Apr  6 15:26:56 2017
ls	Thu Apr  6 15:27:16 2017
gets file1	Thu Apr  6 15:27:25 2017
client downloading	Thu Apr  6 15:27:25 2017
filesize>100M,begin mmap send	Thu Apr  6 15:27:25 2017
client drop download	Thu Apr  6 15:27:27 2017
logout	Thu Apr  6 15:27:28 2017
192.168.23.129 52720 connect	Thu Apr  6 15:27:35 2017
client login success	Thu Apr  6 15:27:39 2017
gets file1	Thu Apr  6 15:28:47 2017
client continue downloading	Thu Apr  6 15:28:47 2017
filesize>100M,begin mmap send	Thu Apr  6 15:28:47 2017
client mmap download success	Thu Apr  6 15:30:19 2017
ls	Thu Apr  6 15:30:28 2017
puts mp4	Thu Apr  6 15:30:41 2017
client uploading	Thu Apr  6 15:30:41 2017
upload success	Thu Apr  6 15:30:42 2017
ls	Thu Apr  6 15:30:52 2017
logout	Thu Apr  6 15:31:30 2017
192.168.23.129 52721 connect	Thu Apr  6 17:23:02 2017
client login success	Thu Apr  6 17:23:11 2017
ls	Thu Apr  6 17:23:14 2017
logout	Thu Apr  6 17:23:22 2017
192.168.23.129 52722 connect	Thu Apr  6 19:56:30 2017
client login success	Thu Apr  6 19:56:45 2017
logout	Thu Apr  6 19:56:48 2017
192.168.23.129 52723 connect	Thu Apr  6 19:56:51 2017
client login success	Thu Apr  6 19:57:03 2017
logout	Thu Apr  6 19:57:08 2017
192.168.23.129 52724 connect	Thu Apr  6 19:57:26 2017
client login success	Thu Apr  6 19:57:36 2017
logout	Thu Apr  6 19:57:39 2017
192.168.23.129 39849 connect	Fri Apr  7 16:10:22 2017
client login success	Fri Apr  7 16:10:33 2017
logout	Fri Apr  7 16:10:42 2017
192.168.23.129 39850 connect	Fri Apr  7 16:52:48 2017
client login success	Fri Apr  7 16:53:01 2017
ls	Fri Apr  7 16:53:04 2017
logout	Fri Apr  7 16:53:07 2017
192.168.23.129 39851 connect	Fri Apr  7 16:53:11 2017
client register success	Fri Apr  7 16:53:28 2017
ls	Fri Apr  7 16:53:33 2017
logout	Fri Apr  7 16:53:43 2017
192.168.23.129 39852 connect	Fri Apr  7 16:53:44 2017
client login success	Fri Apr  7 16:53:55 2017
ls	Fri Apr  7 16:54:09 2017
logout	Fri Apr  7 16:54:13 2017
192.168.23.129 39853 connect	Fri Apr  7 16:56:55 2017
logout	Fri Apr  7 16:56:58 2017
